struct_vol,struct_num,first_dep_col_ind,permitted_farthest_J,rank,independent_configs,latt_abc_var
16,44,46,J45,47,100.0,23.369382342024583
16,49,46,J45,47,100.0,23.369382342024583
16,24,46,J45,47,100.0,30.406820889466857
16,47,46,J45,47,100.0,30.406820889466857
12,16,45,J44,53,100.0,3.98417963774131
12,26,45,J44,53,100.0,3.98417963774131
12,10,45,J44,57,100.0,28.55341855517851
12,14,45,J44,51,100.0,65.71116315249087
13,15,45,J44,77,100.0,0.5171852478775975
13,18,45,J44,77,100.0,0.5171852478775975
13,14,45,J44,77,100.0,6.626407553312542
13,19,45,J44,77,100.0,6.626407553312542
13,10,45,J44,76,100.0,31.774374638755802
13,11,45,J44,76,100.0,35.392818944859194
13,9,45,J44,76,100.0,63.64708845409212
13,12,45,J44,76,100.0,78.64722960149264
14,11,45,J44,76,100.0,35.392818944859194
14,12,45,J44,73,100.0,41.72142124170426
14,10,45,J44,77,100.0,69.75754502620028
15,23,45,J44,77,100.0,3.441117827339306
15,30,45,J44,77,100.0,3.441117827339306
16,34,45,J44,63,100.0,3.441117827339306
16,23,45,J44,77,100.0,13.257569877072541
16,58,45,J44,62,100.0,17.12336991937282
16,56,45,J44,48,100.0,47.712151591890795
14,25,44,J43,45,100.0,11.700814054336837
14,34,44,J43,45,100.0,11.700814054336837
15,11,44,J43,68,100.0,48.15320083966687
12,9,43,J42,48,100.0,46.317854718540474
12,41,41,J40,44,100.0,35.78532582742553
14,13,41,J40,58,100.0,63.64708845409212
14,38,41,J40,59,100.0,63.64708845409212
16,62,41,J40,47,100.0,5.768851659290011
16,15,41,J40,64,100.0,95.53150633814154
16,55,41,J40,49,100.0,95.53150633814154
16,70,40,J39,43,100.0,27.847573161980762
16,71,40,J39,43,100.0,27.847573161980762
14,46,38,J37,47,100.0,126.04088743838459
14,14,38,J37,45,100.0,133.5567409463487
16,57,38,J37,41,100.0,25.598803948814766
16,54,38,J37,50,100.0,180.05841062626374
16,16,38,J37,51,100.0,188.01275936432123
12,30,37,J36,37,100.0,8.544857319490829
