struct_vol,struct_num,first_dep_col_ind,permitted_farthest_J,rank,independent_configs,latt_abc_var
15,9,82,J81,200,100.0,238.9635545024162
16,69,82,J81,200,100.0,22.315695757951516
16,26,82,J81,200,100.0,23.826855883127752
16,31,82,J81,200,100.0,23.826855883127752
16,43,82,J81,200,100.0,30.023263720594695
16,19,82,J81,200,100.0,65.85717084405064
16,25,82,J81,200,100.0,65.85717084405064
16,10,82,J81,200,100.0,281.47351766557153
8,8,79,J78,93,100.0,21.78826167523343
15,40,79,J78,191,100.0,6.591967424895741
10,17,76,J75,115,100.0,2.2821552946094763
8,19,74,J73,81,100.0,17.109510632593757
16,88,74,J73,81,100.0,7.752008547314431
10,14,72,J71,200,100.0,0.0
10,19,72,J71,200,100.0,0.0
12,60,72,J71,145,100.0,59.149994264505686
12,28,72,J71,186,100.0,65.36963557828393
15,41,72,J71,186,100.0,119.57776171796024
15,31,72,J71,196,100.0,126.7905160760818
6,5,71,J70,89,100.0,9.530784497727593
12,52,71,J70,89,100.0,13.577659516717416
10,28,68,J67,121,100.0,0.6294768758945132
6,14,62,J61,71,100.0,6.067484690244107
6,8,62,J61,91,100.0,7.629488230936485
9,13,62,J61,174,100.0,25.917744228648925
6,6,57,J56,65,100.0,9.13232225296566
12,23,57,J56,183,100.0,0.0
6,9,56,J55,70,100.0,2.8694342983842898
6,11,56,J55,70,100.0,2.8694342983842898
8,24,56,J55,69,100.0,13.577659516717416
8,13,56,J55,90,100.0,18.15972740649696
10,21,56,J55,127,100.0,39.64726503779754
10,24,56,J55,127,100.0,39.64726503779754
12,31,56,J55,146,100.0,71.19625827456184
12,51,56,J55,122,100.0,77.94271940674133
14,39,56,J55,179,100.0,120.63024612102511
14,43,56,J55,179,100.0,120.63024612102511
16,79,56,J55,69,100.0,28.361595853243433
16,68,56,J55,178,100.0,173.99687392083797
16,45,56,J55,196,100.0,181.86045606024206
5,4,54,J53,116,100.0,5.8200000883127565
13,17,54,J53,120,100.0,18.15972740649696
13,20,54,J53,120,100.0,18.15972740649696
9,10,48,J47,84,100.0,0.0
9,14,48,J47,84,100.0,0.0
12,58,48,J47,89,100.0,9.258474261449097
12,63,48,J47,89,100.0,9.258474261449097
12,24,48,J47,121,100.0,12.789232010955262
12,34,48,J47,121,100.0,12.789232010955262
12,48,48,J47,85,100.0,12.789232010955262
12,59,48,J47,85,100.0,12.789232010955262
16,83,48,J47,92,100.0,11.295504222107942
16,77,48,J47,91,100.0,40.478480091219545
16,81,48,J47,91,100.0,40.478480091219545
16,35,48,J47,144,100.0,45.88356186528171
16,48,48,J47,144,100.0,45.88356186528171
16,65,48,J47,106,100.0,45.88356186528171
16,78,48,J47,106,100.0,45.88356186528171
12,67,47,J46,79,100.0,11.295504222107942
12,46,47,J46,85,100.0,15.25897646187297
12,66,47,J46,85,100.0,15.25897646187297
12,54,47,J46,70,100.0,19.58076604118998
16,87,47,J46,82,100.0,45.18201688843175
16,63,47,J46,106,100.0,50.91536065482159
16,86,47,J46,106,100.0,50.91536065482159
16,73,47,J46,109,100.0,56.8100297094034
8,20,42,J41,46,100.0,12.106484937664627
16,89,42,J41,46,100.0,0.0
9,17,39,J38,59,100.0,5.814006410485821
9,16,39,J38,78,100.0,21.313235255266964
7,7,33,J32,63,100.0,2.8694342983842898
7,8,33,J32,63,100.0,2.8694342983842898
8,12,31,J30,80,100.0,0.6294768758945132
8,15,31,J30,80,100.0,0.6294768758945132
8,22,31,J30,46,100.0,0.6294768758945132
6,15,30,J29,43,100.0,28.405014854701705
6,12,30,J29,39,100.0,34.51598954221832
8,25,30,J29,52,100.0,2.2821552946094763
8,23,30,J29,55,100.0,75.52503387996204
8,16,30,J29,56,100.0,82.88749672578406
10,29,30,J29,73,100.0,145.23606134943824
10,25,30,J29,69,100.0,153.36803959890162
12,49,30,J29,85,100.0,237.53809726313042
12,36,30,J29,86,100.0,246.18946191455794
14,49,30,J29,96,100.0,352.4311416210383
14,44,30,J29,96,100.0,361.45613510745403
16,66,30,J29,96,100.0,489.9151944231621
16,50,30,J29,96,100.0,499.22165631821116
4,4,28,J27,37,100.0,1.1410776473047388
8,21,24,J23,48,100.0,0.6294768758945131
4,3,23,J22,30,100.0,12.106484937664627
5,3,23,J22,48,100.0,28.405014854701705
6,4,23,J22,51,100.0,47.46417218304121
7,4,23,J22,69,100.0,82.88749672578406
8,5,23,J22,72,100.0,121.24030404016143
9,5,23,J22,88,100.0,161.56029205142536
10,6,23,J22,91,100.0,220.34792398644063
11,6,23,J22,102,100.0,281.13639942935197
12,7,23,J22,104,100.0,343.42943725245703
13,7,23,J22,104,100.0,425.2287841531752
14,8,23,J22,104,100.0,508.54336059080424
15,8,23,J22,104,100.0,593.0716077861362
16,9,23,J22,104,100.0,697.7260733956324
3,1,22,J21,38,100.0,13.412742569437128
4,1,22,J21,45,100.0,31.14576376051275
5,2,22,J21,67,100.0,17.257994771109157
5,1,22,J21,70,100.0,66.43129618955116
6,2,22,J21,80,100.0,29.491991975427606
6,7,22,J21,80,100.0,29.491991975427606
6,13,22,J21,49,100.0,33.88651266632382
6,3,22,J21,47,100.0,39.68299290167457
6,1,22,J21,77,100.0,105.53554227262866
7,2,22,J21,105,100.0,39.87975528731021
7,3,22,J21,105,100.0,39.87975528731021
7,1,22,J21,102,100.0,163.95106551999697
8,18,22,J21,54,100.0,37.76251693998102
8,3,22,J21,106,100.0,45.916487905569134
8,2,22,J21,96,100.0,57.56327884862271
8,9,22,J21,96,100.0,57.56327884862271
8,17,22,J21,56,100.0,79.06852955475554
8,4,22,J21,64,100.0,86.19241343507491
8,1,22,J21,109,100.0,225.10733767317626
9,15,22,J21,57,100.0,45.18201688843175
9,3,22,J21,118,100.0,49.14548912819678
9,11,22,J21,118,100.0,49.14548912819678
9,2,22,J21,137,100.0,83.8271214820884
9,4,22,J21,137,100.0,83.8271214820884
9,1,22,J21,130,100.0,306.41627258875246
10,3,22,J21,135,100.0,52.81150511936823
10,4,22,J21,145,100.0,60.634069813053124
10,18,22,J21,145,100.0,60.634069813053124
10,2,22,J21,142,100.0,104.95552171141928
10,11,22,J21,142,100.0,104.95552171141928
10,26,22,J21,83,100.0,146.84155488740313
10,5,22,J21,81,100.0,154.78163310793593
10,1,22,J21,131,100.0,389.8611499621556
11,3,22,J21,170,100.0,65.85749773214054
11,4,22,J21,170,100.0,65.85749773214054
11,2,22,J21,168,100.0,142.13801809019103
11,5,22,J21,168,100.0,142.13801809019103
11,1,22,J21,131,100.0,493.9543847558945
12,39,22,J21,97,100.0,76.6840197994508
12,56,22,J21,97,100.0,76.6840197994508
12,55,22,J21,101,100.0,79.06852955475556
12,62,22,J21,101,100.0,79.06852955475556
12,3,22,J21,145,100.0,81.19899379893485
12,19,22,J21,145,100.0,81.19899379893485
12,4,22,J21,146,100.0,84.8018733211454
12,25,22,J21,146,100.0,84.8018733211454
12,5,22,J21,170,100.0,89.56128700788105
12,38,22,J21,147,100.0,102.22799870245835
12,2,22,J21,161,100.0,173.2410982716132
